Date;Open;High;Low;Close;Adj Close;Volume
31/01/2003;253393;259821;250893;256429;217370;341224800
03/02/2003;257321;266250;256250;261786;221911;264784800
04/02/2003;258036;261607;255536;260714;221002;317413600
05/02/2003;262679;266607;257857;258036;218732;221614400
06/02/2003;256429;260536;253929;257679;218429;179149600
07/02/2003;259821;260714;251250;252679;214191;269701600
10/02/2003;254643;260179;251071;256250;217218;167888000
11/02/2003;258929;261250;253571;256250;217218;164780000
12/02/2003;254821;260714;254821;256964;217823;228687200
13/02/2003;257321;261429;254286;259643;220094;208493600
14/02/2003;260893;262857;256250;261964;222062;243297600
18/02/2003;263393;273214;262857;272679;231144;290897600
19/02/2003;269107;270536;262143;265179;224787;240368800
20/02/2003;265179;267143;262679;263750;223576;224352800
21/02/2003;264643;268929;261607;267857;227057;157444000
24/02/2003;265357;268393;246429;263214;223121;180252800
25/02/2003;262143;269286;260357;268214;227359;188641600
26/02/2003;267679;268214;258571;258929;219489;217095200
27/02/2003;260179;267857;259107;265357;224938;154341600
28/02/2003;265357;269464;263750;268036;227209;195098400
03/03/2003;268036;270714;259821;261607;221759;203761600
04/03/2003;263214;264464;257857;260000;220397;126414400
05/03/2003;260893;264286;259286;261071;221305;126683200
06/03/2003;260357;260714;257143;260000;220397;99859200
07/03/2003;258393;262679;255536;259464;219942;200984000
10/03/2003;259107;261964;255357;256607;217521;134573600
11/03/2003;256429;258750;252143;254107;215401;161190400
12/03/2003;253036;256964;251071;253929;215251;222560800
13/03/2003;258393;264286;253036;262857;222819;335445600
14/03/2003;262143;268036;261429;263929;223727;153098400
17/03/2003;265893;269107;262679;268036;227209;399912800
18/03/2003;267857;269464;264643;267857;227057;229980800
19/03/2003;269107;270536;264107;266964;226300;141316000
20/03/2003;266607;267679;260714;266250;225695;163178400
21/03/2003;269464;270536;264643;267857;227057;297948000
24/03/2003;261964;264286;256250;256607;217521;161100800
25/03/2003;257321;264821;256607;259821;220245;167697600
26/03/2003;259821;260000;255357;257321;218126;178343200
27/03/2003;255714;262500;255714;258750;219337;122393600
28/03/2003;257143;261071;256607;260179;220548;145303200
31/03/2003;255893;259464;250714;252500;214039;256659200
01/04/2003;253571;255536;251250;252857;214342;154341600
02/04/2003;256429;262321;254821;260714;221002;171371200
03/04/2003;260000;262500;256250;258214;218883;145712000
04/04/2003;259286;261964;256964;257321;218126;146020000
07/04/2003;265179;266964;257321;258750;219337;196862400
08/04/2003;259107;261607;256429;258036;218732;128934400
09/04/2003;259286;261071;252500;253393;214796;146725600
10/04/2003;253571;256964;253571;256607;217521;107100000
11/04/2003;250893;257857;230893;235714;199810;1392708800
14/04/2003;244821;245536;241071;242500;205562;502958400
15/04/2003;242679;242857;237500;239107;202686;303968000
16/04/2003;231964;244107;230714;236429;200416;1016176000
17/04/2003;235714;236607;227143;234286;198600;616257600
21/04/2003;234464;235536;231786;234643;198902;152320000
22/04/2003;235357;243214;233750;241250;204503;300568800
23/04/2003;241607;243393;238571;242500;205562;209680800
24/04/2003;241429;243036;232143;240000;203443;325108000
25/04/2003;240357;242500;236250;238393;202081;205318400
28/04/2003;240714;249286;239821;247500;209801;636798400
29/04/2003;249643;252857;242500;251071;212828;458236800
30/04/2003;248750;256250;247321;253929;215251;458175200
01/05/2003;254464;256964;250000;256429;217370;342759200
02/05/2003;258214;260536;256071;258036;218732;321182400
05/05/2003;263750;301429;263393;287321;243556;1555708000
06/05/2003;287857;319643;287500;312500;264900;1514492000
07/05/2003;309464;325714;305536;315179;267171;1054379200
08/05/2003;316071;322679;308750;321429;272469;687736000
09/05/2003;327321;328571;319286;326786;277010;588386400
12/05/2003;324107;334643;323750;331429;280946;419372800
13/05/2003;329107;338750;320536;333393;282611;446796000
14/05/2003;336250;336429;329107;331250;280794;355488000
15/05/2003;332143;336607;329821;334464;283518;284995200
16/05/2003;331964;339464;326429;335714;284578;341628000
19/05/2003;330893;333036;322500;323214;273982;445888800
20/05/2003;323214;324286;314286;317679;269290;416220000
21/05/2003;317679;323036;315536;318750;270198;305009600
22/05/2003;319464;328571;316786;325714;276101;178460800
23/05/2003;325179;329643;320714;327143;277312;206718400
27/05/2003;320714;337500;319821;337143;285789;290130400
28/05/2003;330357;333214;324107;326429;276707;339679200
29/05/2003;326607;330357;319643;323214;273982;333765600
30/05/2003;323571;324643;313036;320536;271712;382748800
02/06/2003;323214;326607;308393;311607;264143;418588800
03/06/2003;311429;315536;303929;309107;262024;360858400
04/06/2003;308929;317679;306071;314286;266414;271202400
05/06/2003;311607;316786;309464;315000;267019;205497600
06/06/2003;316786;322143;306071;306250;259602;241388000
09/06/2003;302500;304286;296964;299821;254152;259952000
10/06/2003;301607;308750;299107;306786;260056;176646400
11/06/2003;306250;312679;300179;311607;264143;225114400
12/06/2003;313393;319286;311607;317321;268987;252588000
13/06/2003;316964;320536;305893;311071;263689;191245600
16/06/2003;314286;326250;311607;326250;276556;238526400
17/06/2003;328750;330357;321250;324821;275344;177464000
18/06/2003;329464;347857;326964;341429;289422;454983200
19/06/2003;345714;350179;335179;341786;289725;381528000
20/06/2003;345536;349643;337500;342857;290633;356546400
23/06/2003;344643;351607;334821;340357;288514;307361600
24/06/2003;347679;351250;334286;335357;284275;514382400
25/06/2003;336786;346429;334107;340893;288968;329812000
26/06/2003;333929;345000;333929;344464;291995;161705600
27/06/2003;344643;344821;330000;334464;283518;365792000
30/06/2003;333571;343036;331964;340357;288514;222152000
01/07/2003;336964;342500;330536;340893;288968;180992000
02/07/2003;339821;346429;339643;344107;291692;325298400
03/07/2003;339286;349107;338929;341607;289573;137771200
07/07/2003;344107;360357;341607;354821;300775;286272000
08/07/2003;348571;366071;348036;364286;308798;256737600
09/07/2003;360893;365179;355179;355179;301078;213645600
10/07/2003;355000;356071;345893;349643;296385;170934400
11/07/2003;351071;357143;348750;354464;300472;136858400
14/07/2003;357321;364286;354821;355357;301229;188406400
15/07/2003;357500;361429;346964;350179;296840;206645600
16/07/2003;356607;357143;346071;354821;300775;250930400
17/07/2003;360536;374107;359464;373214;316366;751212000
18/07/2003;373214;378214;364286;372500;315761;298838400
21/07/2003;369464;371429;362500;368036;311977;183808800
22/07/2003;372679;374286;366071;371429;314853;198424800
23/07/2003;374107;374286;365357;371250;314701;143035200
24/07/2003;375714;383929;363929;366250;310463;229236000
25/07/2003;364464;385179;364286;384643;326054;216686400
28/07/2003;383929;383929;372500;374821;317728;170357600
29/07/2003;374821;376429;366429;370000;313642;197120000
30/07/2003;370893;373214;360179;362143;306981;173594400
31/07/2003;370357;381250;367321;376429;319091;301464800
01/08/2003;375000;379821;368571;370179;313793;149604000
04/08/2003;366607;383929;362143;378750;321059;230115200
05/08/2003;381250;382143;358929;363929;308495;249440800
06/08/2003;358214;360179;348214;350536;297142;245464800
07/08/2003;352321;358750;346786;355893;301683;174378400
08/08/2003;359107;359464;350000;350714;297293;137659200
11/08/2003;353929;355893;348393;351071;297596;137228000
12/08/2003;352857;353571;347500;351786;298202;164438400
13/08/2003;354643;363214;349643;360357;305467;284099200
14/08/2003;360893;363036;356071;356607;302289;192780000
15/08/2003;357500;358393;351071;351964;298353;125865600
18/08/2003;354643;364464;352143;363214;307889;192774400
19/08/2003;363750;365179;357143;362857;307587;133688800
20/08/2003;360357;379821;359643;375179;318032;273212800
21/08/2003;375536;387679;374107;387143;328173;255326400
22/08/2003;389464;392857;368571;372857;316063;250264000
25/08/2003;371071;373393;365893;372500;315761;137782400
26/08/2003;370536;376250;363393;375893;318637;164959200
27/08/2003;373393;383571;368929;383571;325145;225702400
